scenario_id,has_leak,x_leak_true,q_leak_true,leak_size,noise_level,noise_std,n_sensors,leak_detected,x_leak_pred,x_leak_error_km,q_leak_pred,q_leak_error_pct,t_detection,training_time_s,method
1,True,2000,0.005,small,trivial,500.0,2,True,5435.5673828125,3.4355673828125,0.025499999523162842,409.99999046325684,,194.26447129249573,pinn
1,True,2000,0.005,small,trivial,500.0,3,True,5281.85009765625,3.28185009765625,0.025499999523162842,409.99999046325684,,207.53190660476685,pinn
1,True,2000,0.005,small,facil,2000.0,2,True,5470.61669921875,3.47061669921875,0.025499999523162842,409.99999046325684,,187.22634863853455,pinn
1,True,2000,0.005,small,facil,2000.0,3,True,5465.80517578125,3.46580517578125,0.025499999523162842,409.99999046325684,,202.69809913635254,pinn
1,True,2000,0.005,small,moderado,8000.0,2,True,5470.53564453125,3.47053564453125,0.025499999523162842,409.99999046325684,,194.86359167099,pinn
1,True,2000,0.005,small,moderado,8000.0,3,True,5465.6953125,3.4656953125,0.025499999523162842,409.99999046325684,,212.77047085762024,pinn
1,True,2000,0.005,small,dificil,25000.0,2,True,5470.291015625,3.470291015625,0.025499999523162842,409.99999046325684,,185.67128825187683,pinn
1,True,2000,0.005,small,dificil,25000.0,3,True,5465.44189453125,3.46544189453125,0.025499999523162842,409.99999046325684,,209.1517789363861,pinn
1,True,2000,0.005,small,muy_dificil,50000.0,2,True,5469.9052734375,3.4699052734375,0.025499999523162842,409.99999046325684,,196.01670956611633,pinn
1,True,2000,0.005,small,muy_dificil,50000.0,3,True,5465.04833984375,3.46504833984375,0.025499999523162842,409.99999046325684,,211.96433472633362,pinn
2,True,2000,0.015,medium,trivial,500.0,2,True,5442.6650390625,3.4426650390625,0.025499999523162842,69.99999682108562,,194.85323977470398,pinn
2,True,2000,0.015,medium,trivial,500.0,3,True,5439.890625,3.439890625,0.025499999523162842,69.99999682108562,,209.43372511863708,pinn
2,True,2000,0.015,medium,facil,2000.0,2,True,5442.64599609375,3.44264599609375,0.025499999523162842,69.99999682108562,,193.35791087150574,pinn
2,True,2000,0.015,medium,facil,2000.0,3,True,5439.86865234375,3.43986865234375,0.025499999523162842,69.99999682108562,,212.36641931533813,pinn
2,True,2000,0.015,medium,moderado,8000.0,2,True,5442.56005859375,3.44256005859375,0.025499999523162842,69.99999682108562,,196.794757604599,pinn
2,True,2000,0.015,medium,moderado,8000.0,3,True,5439.76318359375,3.43976318359375,0.025499999523162842,69.99999682108562,,212.20304441452026,pinn
2,True,2000,0.015,medium,dificil,25000.0,2,True,5442.35595703125,3.44235595703125,0.025499999523162842,69.99999682108562,,194.34099078178406,pinn
2,True,2000,0.015,medium,dificil,25000.0,3,True,5439.45947265625,3.43945947265625,0.025499999523162842,69.99999682108562,,211.07902693748474,pinn
2,True,2000,0.015,medium,muy_dificil,50000.0,2,True,5442.021484375,3.442021484375,0.025499999523162842,69.99999682108562,,198.50072765350342,pinn
2,True,2000,0.015,medium,muy_dificil,50000.0,3,True,5439.0166015625,3.4390166015625,0.025499999523162842,69.99999682108562,,206.64922404289246,pinn
3,True,2000,0.03,large,trivial,500.0,2,True,5393.25,3.39325,0.025499999523162842,15.00000158945719,,199.08796381950378,pinn
3,True,2000,0.03,large,trivial,500.0,3,True,5394.47607421875,3.39447607421875,0.025499999523162842,15.00000158945719,,209.83798217773438,pinn
3,True,2000,0.03,large,facil,2000.0,2,True,5393.24951171875,3.39324951171875,0.025499999523162842,15.00000158945719,,191.36965322494507,pinn
3,True,2000,0.03,large,facil,2000.0,3,True,5394.47314453125,3.39447314453125,0.025499999523162842,15.00000158945719,,209.73840761184692,pinn
3,True,2000,0.03,large,moderado,8000.0,2,True,5393.1357421875,3.3931357421875,0.025499999523162842,15.00000158945719,,189.98958683013916,pinn
3,True,2000,0.03,large,moderado,8000.0,3,True,5394.30517578125,3.39430517578125,0.025499999523162842,15.00000158945719,,198.7224645614624,pinn
3,True,2000,0.03,large,dificil,25000.0,2,True,5392.9296875,3.3929296875,0.025499999523162842,15.00000158945719,,179.11285829544067,pinn
3,True,2000,0.03,large,dificil,25000.0,3,True,5393.88232421875,3.39388232421875,0.025499999523162842,15.00000158945719,,201.4412326812744,pinn
3,True,2000,0.03,large,muy_dificil,50000.0,2,True,5392.5458984375,3.3925458984375,0.025499999523162842,15.00000158945719,,189.8742287158966,pinn
3,True,2000,0.03,large,muy_dificil,50000.0,3,True,5393.3759765625,3.3933759765625,0.025499999523162842,15.00000158945719,,205.34479475021362,pinn
4,True,4000,0.005,small,trivial,500.0,2,True,5471.0947265625,1.4710947265625,0.025499999523162842,409.99999046325684,,192.84722566604614,pinn
4,True,4000,0.005,small,trivial,500.0,3,True,5466.06005859375,1.46606005859375,0.025499999523162842,409.99999046325684,,211.8323950767517,pinn
4,True,4000,0.005,small,facil,2000.0,2,True,5471.0888671875,1.4710888671875,0.025499999523162842,409.99999046325684,,191.54240322113037,pinn
4,True,4000,0.005,small,facil,2000.0,3,True,5466.02099609375,1.46602099609375,0.025499999523162842,409.99999046325684,,200.13084292411804,pinn
4,True,4000,0.005,small,moderado,8000.0,2,True,5470.9716796875,1.4709716796875,0.025499999523162842,409.99999046325684,,201.75789785385132,pinn
4,True,4000,0.005,small,moderado,8000.0,3,True,5465.927734375,1.465927734375,0.025499999523162842,409.99999046325684,,201.4908003807068,pinn
4,True,4000,0.005,small,dificil,25000.0,2,True,5470.7578125,1.4707578125,0.025499999523162842,409.99999046325684,,198.76443600654602,pinn
4,True,4000,0.005,small,dificil,25000.0,3,True,5465.7177734375,1.4657177734375,0.025499999523162842,409.99999046325684,,199.17232513427734,pinn
4,True,4000,0.005,small,muy_dificil,50000.0,2,True,5470.4033203125,1.4704033203125,0.025499999523162842,409.99999046325684,,203.91242957115173,pinn
4,True,4000,0.005,small,muy_dificil,50000.0,3,True,5465.3125,1.4653125,0.025499999523162842,409.99999046325684,,200.15891885757446,pinn
5,True,4000,0.015,medium,trivial,500.0,2,True,5444.498046875,1.444498046875,0.025499999523162842,69.99999682108562,,180.15602731704712,pinn
5,True,4000,0.015,medium,trivial,500.0,3,True,5441.19677734375,1.44119677734375,0.025499999523162842,69.99999682108562,,199.26624488830566,pinn
5,True,4000,0.015,medium,facil,2000.0,2,True,5444.494140625,1.444494140625,0.025499999523162842,69.99999682108562,,175.87216758728027,pinn
5,True,4000,0.015,medium,facil,2000.0,3,True,5441.16552734375,1.44116552734375,0.025499999523162842,69.99999682108562,,189.14381980895996,pinn
5,True,4000,0.015,medium,moderado,8000.0,2,True,5444.40283203125,1.44440283203125,0.025499999523162842,69.99999682108562,,195.46579003334045,pinn
5,True,4000,0.015,medium,moderado,8000.0,3,True,5441.0703125,1.4410703125,0.025499999523162842,69.99999682108562,,211.83303928375244,pinn
5,True,4000,0.015,medium,dificil,25000.0,2,True,5444.17236328125,1.44417236328125,0.025499999523162842,69.99999682108562,,191.52919745445251,pinn
5,True,4000,0.015,medium,dificil,25000.0,3,True,5440.77392578125,1.44077392578125,0.025499999523162842,69.99999682108562,,211.98628783226013,pinn
5,True,4000,0.015,medium,muy_dificil,50000.0,2,True,5443.8330078125,1.4438330078125,0.025499999523162842,69.99999682108562,,197.1489384174347,pinn
5,True,4000,0.015,medium,muy_dificil,50000.0,3,True,5440.29296875,1.44029296875,0.025499999523162842,69.99999682108562,,208.0561773777008,pinn
6,True,4000,0.03,large,trivial,500.0,2,True,5398.57958984375,1.39857958984375,0.025499999523162842,15.00000158945719,,201.90479946136475,pinn
6,True,4000,0.03,large,trivial,500.0,3,True,5398.47705078125,1.39847705078125,0.025499999523162842,15.00000158945719,,212.7702236175537,pinn
6,True,4000,0.03,large,facil,2000.0,2,True,5398.5703125,1.3985703125,0.025499999523162842,15.00000158945719,,195.07302021980286,pinn
6,True,4000,0.03,large,facil,2000.0,3,True,5398.4609375,1.3984609375,0.025499999523162842,15.00000158945719,,211.97901153564453,pinn
6,True,4000,0.03,large,moderado,8000.0,2,True,5398.4521484375,1.3984521484375,0.025499999523162842,15.00000158945719,,195.2820110321045,pinn
