scenario_id,has_leak,x_leak_true,q_leak_true,leak_size,noise_level,noise_std,n_pressure_sensors,leak_detected,t_detection,x_leak_pred,x_leak_error_km,q_leak_pred,q_leak_error_pct,method
0,False,,0.0,none,trivial,500,2,False,,,,0.0,,mass_balance_npw
1,True,2000.0,0.005,small,trivial,500,2,True,50.58333333333333,1949.9999999999986,0.05000000000000136,0.004969681681290248,0.6063663741950366,mass_balance_npw
2,True,2000.0,0.015,medium,trivial,500,2,True,50.166666666666664,2000.0,0.0,0.0149115427048938,0.5897153007080002,mass_balance_npw
3,True,2000.0,0.03,large,trivial,500,2,True,50.08333333333333,2000.0,0.0,0.029827693918573282,0.5743536047557221,mass_balance_npw
4,True,4000.0,0.005,small,trivial,500,2,True,52.25,3999.9999999999973,2.7284841053187848e-15,0.004955251761752419,0.8949647649516245,mass_balance_npw
5,True,4000.0,0.015,medium,trivial,500,2,True,51.83333333333333,3999.9999999999973,2.7284841053187848e-15,0.014863786353206315,0.9080909786245613,mass_balance_npw
6,True,4000.0,0.03,large,trivial,500,2,True,51.75,3999.9999999999973,2.7284841053187848e-15,0.02973485614346077,0.883812855130758,mass_balance_npw
7,True,6000.0,0.005,small,trivial,500,2,True,52.25,6000.000000000003,2.7284841053187848e-15,0.004932972015996044,1.3405596800791266,mass_balance_npw
8,True,6000.0,0.015,medium,trivial,500,2,True,51.83333333333333,6000.000000000003,2.7284841053187848e-15,0.01481577105651459,1.228192956569396,mass_balance_npw
9,True,6000.0,0.03,large,trivial,500,2,True,51.75,6000.000000000003,2.7284841053187848e-15,0.029653270644763433,1.1557645174552211,mass_balance_npw
10,True,8000.0,0.005,small,trivial,500,2,True,50.58333333333333,8000.0,0.0,0.004958608500792519,0.8278299841496182,mass_balance_npw
11,True,8000.0,0.015,medium,trivial,500,2,True,50.166666666666664,8000.0,0.0,0.014909221623320652,0.6051891778623142,mass_balance_npw
12,True,8000.0,0.03,large,trivial,500,2,True,50.08333333333333,8000.0,0.0,0.029844578480715134,0.5180717309495482,mass_balance_npw
0,False,,0.0,none,facil,2000,2,False,,,,0.0,,mass_balance_npw
1,True,2000.0,0.005,small,facil,2000,2,True,50.58333333333333,1900.0000000000014,0.09999999999999863,0.004970971711833583,0.5805657633283466,mass_balance_npw
2,True,2000.0,0.015,medium,facil,2000,2,True,50.166666666666664,1949.9999999999986,0.05000000000000136,0.014912808020679331,0.5812798621377888,mass_balance_npw
3,True,2000.0,0.03,large,facil,2000,2,True,50.08333333333333,2000.0,0.0,0.02982895466706463,0.5701511097845613,mass_balance_npw
4,True,4000.0,0.005,small,facil,2000,2,True,52.25,3899.9999999999986,0.10000000000000137,0.004956737521088861,0.8652495782227737,mass_balance_npw
5,True,4000.0,0.015,medium,facil,2000,2,True,51.83333333333333,3950.0,0.05,0.014865237303760574,0.8984179749295038,mass_balance_npw
6,True,4000.0,0.03,large,facil,2000,2,True,51.75,3999.9999999999973,2.7284841053187848e-15,0.029736293604432106,0.8790213185596446,mass_balance_npw
7,True,6000.0,0.005,small,facil,2000,2,True,52.25,5999.999999999998,1.8189894035458565e-15,0.004934457775332486,1.3108444933502759,mass_balance_npw
8,True,6000.0,0.015,medium,facil,2000,2,True,51.83333333333333,5950.000000000002,0.04999999999999818,0.014817222007068849,1.2185199528743387,mass_balance_npw
9,True,6000.0,0.03,large,facil,2000,2,True,51.75,6000.000000000003,2.7284841053187848e-15,0.02965470810573476,1.150972980884131,mass_balance_npw
10,True,8000.0,0.005,small,facil,2000,2,True,50.58333333333333,7900.000000000002,0.09999999999999819,0.004959898531335854,0.8020293732829281,mass_balance_npw
11,True,8000.0,0.015,medium,facil,2000,2,True,50.166666666666664,7949.999999999998,0.05000000000000182,0.014910486939106184,0.596753739292103,mass_balance_npw
12,True,8000.0,0.03,large,facil,2000,2,True,50.08333333333333,8000.0,0.0,0.029845839229206486,0.5138692359783759,mass_balance_npw
0,False,,0.0,none,moderado,8000,2,False,,,,0.0,,mass_balance_npw
1,True,2000.0,0.005,small,moderado,8000,2,True,50.58333333333333,999.9999999999973,1.0000000000000027,0.004976131834006925,0.4773633198614999,mass_balance_npw
2,True,2000.0,0.015,medium,moderado,8000,2,True,50.08333333333333,1850.0,0.15,0.014918233505082416,0.5451099661172206,mass_balance_npw
3,True,2000.0,0.03,large,moderado,8000,2,True,50.0,1950.0000000000027,0.04999999999999727,0.029834766300197917,0.5507789993402721,mass_balance_npw
4,True,4000.0,0.005,small,moderado,8000,2,True,52.25,3050.0,0.95,0.004962680558434635,0.7463888313073014,mass_balance_npw
5,True,4000.0,0.015,medium,moderado,8000,2,True,51.83333333333333,3900.0000000000027,0.09999999999999727,0.014871041105977608,0.8597259601492737,mass_balance_npw
6,True,4000.0,0.03,large,moderado,8000,2,True,51.75,3899.9999999999986,0.10000000000000137,0.029742043448317428,0.8598551722752378,mass_balance_npw
7,True,6000.0,0.005,small,moderado,8000,2,True,52.25,5150.0,0.85,0.004940400812678261,1.1919837464347862,mass_balance_npw
8,True,6000.0,0.015,medium,moderado,8000,2,True,51.83333333333333,5950.000000000002,0.04999999999999818,0.014823025809285883,1.1798279380941084,mass_balance_npw
9,True,6000.0,0.03,large,moderado,8000,2,True,51.75,5949.999999999997,0.05000000000000273,0.02966045794962009,1.131806834599701,mass_balance_npw
10,True,8000.0,0.005,small,moderado,8000,2,True,50.58333333333333,7250.0,0.75,0.004965058653509196,0.6988269298160814,mass_balance_npw
11,True,8000.0,0.015,medium,moderado,8000,2,True,50.08333333333333,7799.999999999998,0.20000000000000182,0.014921183730454313,0.5254417969712452,mass_balance_npw
12,True,8000.0,0.03,large,moderado,8000,2,True,50.0,7900.000000000002,0.09999999999999819,0.02986189910057219,0.46033633142602887,mass_balance_npw
0,False,,0.0,none,dificil,25000,2,True,55.666666666666664,5000.0,,3.4791372068905646e-05,,mass_balance_npw
1,True,2000.0,0.005,small,dificil,25000,2,True,51.08333333333333,5000.0,3.0,0.004991078027382938,0.17843945234123637,mass_balance_npw
2,True,2000.0,0.015,medium,dificil,25000,2,True,50.08333333333333,999.9999999999973,1.0000000000000027,0.01493252198798436,0.4498534134375967,mass_balance_npw
3,True,2000.0,0.03,large,dificil,25000,2,True,50.0,1799.9999999999986,0.20000000000000137,0.029849019839068774,0.5032672031040839,mass_balance_npw
4,True,4000.0,0.005,small,dificil,25000,2,True,52.666666666666664,5000.0,1.0,0.004980680891762379,0.38638216475242804,mass_balance_npw
5,True,4000.0,0.015,medium,dificil,25000,2,True,51.916666666666664,2999.9999999999986,1.0000000000000013,0.014888683448344375,0.7421103443708277,mass_balance_npw
6,True,4000.0,0.03,large,dificil,25000,2,True,51.83333333333333,3800.0,0.2,0.029761024921947526,0.7965835935082438,mass_balance_npw
7,True,6000.0,0.005,small,dificil,25000,2,True,52.666666666666664,1000.0,5.0,0.004954894028580776,0.902119428384477,mass_balance_npw
8,True,6000.0,0.015,medium,dificil,25000,2,True,51.916666666666664,5350.000000000002,0.6499999999999981,0.01483693215276106,1.0871189815929323,mass_balance_npw
9,True,6000.0,0.03,large,dificil,25000,2,True,51.83333333333333,5900.0,0.1,0.029671631752407102,1.0945608253096553,mass_balance_npw
10,True,8000.0,0.005,small,dificil,25000,2,True,51.08333333333333,1000.0,7.0,0.004969112666826222,0.6177466634755581,mass_balance_npw
11,True,8000.0,0.015,medium,dificil,25000,2,True,50.08333333333333,7100.0,0.9,0.014935472213356256,0.43018524429162125,mass_balance_npw
12,True,8000.0,0.03,large,dificil,25000,2,True,50.0,7649.999999999998,0.3500000000000018,0.02987615263944305,0.4128245351898291,mass_balance_npw
0,False,,0.0,none,muy_dificil,50000,2,True,55.666666666666664,5000.0,,6.958274413781144e-05,,mass_balance_npw
1,True,2000.0,0.005,small,muy_dificil,50000,2,True,51.916666666666664,5000.0,3.0,0.005016518944488849,0.33037888977698393,mass_balance_npw
2,True,2000.0,0.015,medium,muy_dificil,50000,2,True,50.5,1000.0,1.0,0.014952068483313511,0.31954344457658707,mass_balance_npw
3,True,2000.0,0.03,large,muy_dificil,50000,2,True,50.08333333333333,999.9999999999973,1.0000000000000027,0.029869298618787763,0.43567127070745276,mass_balance_npw
4,True,4000.0,0.005,small,muy_dificil,50000,2,True,53.08333333333333,5000.0,1.0,0.005007803142963563,0.15606285927125332,mass_balance_npw
5,True,4000.0,0.015,medium,muy_dificil,50000,2,True,52.25,1000.0,3.0,0.01491725853866713,0.5516097422191348,mass_balance_npw
6,True,4000.0,0.03,large,muy_dificil,50000,2,True,51.916666666666664,2999.9999999999986,1.0000000000000013,0.02978758280705243,0.7080573098252353,mass_balance_npw
7,True,6000.0,0.005,small,muy_dificil,50000,2,True,53.08333333333333,1000.0,5.0,0.0049805367134941915,0.38926573011617216,mass_balance_npw
8,True,6000.0,0.015,medium,muy_dificil,50000,2,True,52.25,4100.0,1.9,0.01485291413098396,0.9805724601069308,mass_balance_npw
9,True,6000.0,0.03,large,muy_dificil,50000,2,True,51.916666666666664,5350.000000000002,0.6499999999999981,0.029690842264916424,1.0305257836119157,mass_balance_npw
10,True,8000.0,0.005,small,muy_dificil,50000,2,True,54.916666666666664,5000.0,3.0,0.004953299809909576,0.9340038018084904,mass_balance_npw
11,True,8000.0,0.015,medium,muy_dificil,50000,2,True,50.5,8199.999999999996,0.19999999999999638,0.014928576943648342,0.47615370901104664,mass_balance_npw
12,True,8000.0,0.03,large,muy_dificil,50000,2,True,50.08333333333333,7100.0,0.9,0.029886183180929612,0.3793893969012904,mass_balance_npw
0,False,,0.0,none,trivial,500,3,False,,,,0.0,,mass_balance_npw
1,True,2000.0,0.005,small,trivial,500,3,True,50.58333333333333,2000.0000000000014,1.3642420526593924e-15,0.004969681681290248,0.6063663741950366,mass_balance_npw
2,True,2000.0,0.015,medium,trivial,500,3,True,50.166666666666664,2000.0000000000014,1.3642420526593924e-15,0.0149115427048938,0.5897153007080002,mass_balance_npw
3,True,2000.0,0.03,large,trivial,500,3,True,50.08333333333333,2000.0000000000014,1.3642420526593924e-15,0.029827693918573282,0.5743536047557221,mass_balance_npw
4,True,4000.0,0.005,small,trivial,500,3,True,52.25,3999.9999999999986,1.3642420526593924e-15,0.004955251761752419,0.8949647649516245,mass_balance_npw
5,True,4000.0,0.015,medium,trivial,500,3,True,51.83333333333333,3999.9999999999986,1.3642420526593924e-15,0.014863786353206315,0.9080909786245613,mass_balance_npw
6,True,4000.0,0.03,large,trivial,500,3,True,51.75,3999.9999999999986,1.3642420526593924e-15,0.02973485614346077,0.883812855130758,mass_balance_npw
7,True,6000.0,0.005,small,trivial,500,3,True,52.25,6000.000000000002,1.8189894035458565e-15,0.004932972015996044,1.3405596800791266,mass_balance_npw
8,True,6000.0,0.015,medium,trivial,500,3,True,51.83333333333333,6000.000000000002,1.8189894035458565e-15,0.01481577105651459,1.228192956569396,mass_balance_npw
9,True,6000.0,0.03,large,trivial,500,3,True,51.75,6000.000000000002,1.8189894035458565e-15,0.029653270644763433,1.1557645174552211,mass_balance_npw
10,True,8000.0,0.005,small,trivial,500,3,True,50.58333333333333,7999.999999999998,1.8189894035458565e-15,0.004958608500792519,0.8278299841496182,mass_balance_npw
11,True,8000.0,0.015,medium,trivial,500,3,True,50.166666666666664,7999.999999999998,1.8189894035458565e-15,0.014909221623320652,0.6051891778623142,mass_balance_npw
12,True,8000.0,0.03,large,trivial,500,3,True,50.08333333333333,7999.999999999998,1.8189894035458565e-15,0.029844578480715134,0.5180717309495482,mass_balance_npw
0,False,,0.0,none,facil,2000,3,False,,,,0.0,,mass_balance_npw
1,True,2000.0,0.005,small,facil,2000,3,True,50.58333333333333,1950.0,0.05,0.004970971711833583,0.5805657633283466,mass_balance_npw
2,True,2000.0,0.015,medium,facil,2000,3,True,50.166666666666664,1950.0,0.05,0.014912808020679331,0.5812798621377888,mass_balance_npw
3,True,2000.0,0.03,large,facil,2000,3,True,50.08333333333333,2000.0000000000014,1.3642420526593924e-15,0.02982895466706463,0.5701511097845613,mass_balance_npw
4,True,4000.0,0.005,small,facil,2000,3,True,52.25,3950.0000000000014,0.049999999999998636,0.004956737521088861,0.8652495782227737,mass_balance_npw
5,True,4000.0,0.015,medium,facil,2000,3,True,51.83333333333333,3949.9999999999973,0.05000000000000273,0.014865237303760574,0.8984179749295038,mass_balance_npw
6,True,4000.0,0.03,large,facil,2000,3,True,51.75,3999.9999999999986,1.3642420526593924e-15,0.029736293604432106,0.8790213185596446,mass_balance_npw
7,True,6000.0,0.005,small,facil,2000,3,True,52.25,5999.999999999997,2.7284841053187848e-15,0.004934457775332486,1.3108444933502759,mass_balance_npw
8,True,6000.0,0.015,medium,facil,2000,3,True,51.83333333333333,6050.000000000003,0.05000000000000273,0.014817222007068849,1.2185199528743387,mass_balance_npw
9,True,6000.0,0.03,large,facil,2000,3,True,51.75,6000.000000000002,1.8189894035458565e-15,0.02965470810573476,1.150972980884131,mass_balance_npw
10,True,8000.0,0.005,small,facil,2000,3,True,50.58333333333333,8000.000000000003,2.7284841053187848e-15,0.004959898531335854,0.8020293732829281,mass_balance_npw
11,True,8000.0,0.015,medium,facil,2000,3,True,50.166666666666664,8050.0,0.05,0.014910486939106184,0.596753739292103,mass_balance_npw
12,True,8000.0,0.03,large,facil,2000,3,True,50.08333333333333,7999.999999999998,1.8189894035458565e-15,0.029845839229206486,0.5138692359783759,mass_balance_npw
0,False,,0.0,none,moderado,8000,3,False,,,,0.0,,mass_balance_npw
1,True,2000.0,0.005,small,moderado,8000,3,True,50.58333333333333,799.9999999999973,1.2000000000000026,0.004976131834006925,0.4773633198614999,mass_balance_npw
2,True,2000.0,0.015,medium,moderado,8000,3,True,50.08333333333333,1899.9999999999986,0.10000000000000137,0.014918233505082416,0.5451099661172206,mass_balance_npw
3,True,2000.0,0.03,large,moderado,8000,3,True,50.0,1950.0,0.05,0.029834766300197917,0.5507789993402721,mass_balance_npw
4,True,4000.0,0.005,small,moderado,8000,3,True,52.25,3399.9999999999986,0.6000000000000013,0.004962680558434635,0.7463888313073014,mass_balance_npw
5,True,4000.0,0.015,medium,moderado,8000,3,True,51.83333333333333,3900.0,0.1,0.014871041105977608,0.8597259601492737,mass_balance_npw
6,True,4000.0,0.03,large,moderado,8000,3,True,51.75,3900.0,0.1,0.029742043448317428,0.8598551722752378,mass_balance_npw
7,True,6000.0,0.005,small,moderado,8000,3,True,52.25,6499.999999999998,0.49999999999999817,0.004940400812678261,1.1919837464347862,mass_balance_npw
8,True,6000.0,0.015,medium,moderado,8000,3,True,51.83333333333333,6050.000000000003,0.05000000000000273,0.014823025809285883,1.1798279380941084,mass_balance_npw
9,True,6000.0,0.03,large,moderado,8000,3,True,51.75,6049.999999999998,0.04999999999999818,0.02966045794962009,1.131806834599701,mass_balance_npw
10,True,8000.0,0.005,small,moderado,8000,3,True,50.58333333333333,8950.0,0.95,0.004965058653509196,0.6988269298160814,mass_balance_npw
11,True,8000.0,0.015,medium,moderado,8000,3,True,50.08333333333333,8050.0,0.05,0.014921183730454313,0.5254417969712452,mass_balance_npw
12,True,8000.0,0.03,large,moderado,8000,3,True,50.0,8050.0,0.05,0.02986189910057219,0.46033633142602887,mass_balance_npw
0,False,,0.0,none,dificil,25000,3,True,55.666666666666664,5000.0,,3.4791372068905646e-05,,mass_balance_npw
1,True,2000.0,0.005,small,dificil,25000,3,True,51.08333333333333,9000.0,7.0,0.004991078027382938,0.17843945234123637,mass_balance_npw
2,True,2000.0,0.015,medium,dificil,25000,3,True,50.08333333333333,1000.0,1.0,0.01493252198798436,0.4498534134375967,mass_balance_npw
3,True,2000.0,0.03,large,dificil,25000,3,True,50.0,1850.0000000000014,0.14999999999999863,0.029849019839068774,0.5032672031040839,mass_balance_npw
4,True,4000.0,0.005,small,dificil,25000,3,True,52.666666666666664,9000.0,5.0,0.004980680891762379,0.38638216475242804,mass_balance_npw
5,True,4000.0,0.015,medium,dificil,25000,3,True,51.916666666666664,1849.9999999999973,2.1500000000000026,0.014888683448344375,0.7421103443708277,mass_balance_npw
6,True,4000.0,0.03,large,dificil,25000,3,True,51.83333333333333,3799.9999999999973,0.20000000000000273,0.029761024921947526,0.7965835935082438,mass_balance_npw
7,True,6000.0,0.005,small,dificil,25000,3,True,52.666666666666664,1000.0,5.0,0.004954894028580776,0.902119428384477,mass_balance_npw
8,True,6000.0,0.015,medium,dificil,25000,3,True,51.916666666666664,8050.0,2.05,0.01483693215276106,1.0871189815929323,mass_balance_npw
9,True,6000.0,0.03,large,dificil,25000,3,True,51.83333333333333,6150.000000000002,0.15000000000000183,0.029671631752407102,1.0945608253096553,mass_balance_npw
10,True,8000.0,0.005,small,dificil,25000,3,True,51.08333333333333,9000.0,1.0,0.004969112666826222,0.6177466634755581,mass_balance_npw
11,True,8000.0,0.015,medium,dificil,25000,3,True,50.08333333333333,9649.999999999998,1.6499999999999981,0.014935472213356256,0.43018524429162125,mass_balance_npw
12,True,8000.0,0.03,large,dificil,25000,3,True,50.0,8099.999999999997,0.09999999999999727,0.02987615263944305,0.4128245351898291,mass_balance_npw
0,False,,0.0,none,muy_dificil,50000,3,True,55.666666666666664,5000.0,,6.958274413781144e-05,,mass_balance_npw
1,True,2000.0,0.005,small,muy_dificil,50000,3,True,51.916666666666664,5000.0,3.0,0.005016518944488849,0.33037888977698393,mass_balance_npw
2,True,2000.0,0.015,medium,muy_dificil,50000,3,True,50.5,1000.0,1.0,0.014952068483313511,0.31954344457658707,mass_balance_npw
