x_leak,loss,L_P,L_Q,L_fisica,q_leak_pred
1000.0,0.0028936886228621006,9.061526725417934e-06,0.0001581694814376533,5.159930083209474e-08,0.015037848614156246
1500.0,0.0028827679343521595,8.78214450494852e-06,0.00015714640903752297,4.6674145437464176e-08,0.015038368292152882
2000.0,0.0028044998180121183,7.46596106182551e-06,0.00015569043171126395,2.918878472257802e-08,0.015038195066154003
2500.0,0.002853457583114505,7.959924914757721e-06,0.0001589881139807403,1.1379480469031478e-08,0.015038044191896915
3000.0,0.01131005585193634,0.0002510306367184967,0.00020154716912657022,3.0121095733193215e-06,0.015038172714412212
3500.0,0.0865764170885086,0.001502831233665347,0.0006854513194411993,3.338753595016897e-05,0.015038050711154938
4000.0,0.0028885616920888424,8.931474440032616e-06,0.00015773029008414596,5.057484031567583e-08,0.01503827702254057
4500.0,0.0029919855296611786,1.4800846656726208e-05,0.00015664284001104534,6.977870015134613e-08,0.015038663521409035
5000.0,0.00282437726855278,7.585252660646802e-06,0.00015515841369051486,4.7181774931459586e-08,0.015038696117699146
5500.0,0.0028236776124686003,8.43410634843167e-06,0.00015534184058196843,1.6747067732580945e-08,0.015038459561765194
6000.0,0.0028763930313289165,8.792983862804249e-06,0.0001581565011292696,3.184216978979748e-08,0.015038169920444489
6500.0,0.00288608786650002,9.19768262974685e-06,0.0001573849585838616,2.8623116321568887e-08,0.015038300305604935
7000.0,0.002903444692492485,9.783223504200578e-06,0.0001587711158208549,5.184848816952581e-08,0.015038362704217434
7500.0,0.002878371626138687,1.11726685645408e-05,0.00015542548499070108,3.548016280774391e-08,0.015038963407278061
8000.0,0.00306332902982831,9.199210580845829e-06,0.00015707749116700143,1.384451309149881e-07,0.015038208104670048
8500.0,0.0028742242138832808,8.405644621234387e-06,0.000156438400154002,6.385639039763191e-08,0.01503837201744318
9000.0,0.0028746826574206352,9.025437975651585e-06,0.00015519717999268323,8.417140406891122e-08,0.015038310550153255
