scenario_id,has_leak,x_leak_true,q_leak_true,leak_size,noise_level,noise_std,n_pressure_sensors,leak_detected,t_detection,x_leak_pred,x_leak_error_km,q_leak_pred,q_leak_error_pct,method,inference_time_ms,has_leak_prob
0,False,,0.0,none,trivial,500,3,True,,6586.953401565552,,0.006325405463576316,,lstm,2.994537353515625,0.7947792410850525
1,True,2000.0000298023224,0.00500000026077032,small,trivial,500,3,True,,2412.4766886234283,0.41247665882110596,0.00921265035867691,84.25299756399556,lstm,1.0106563568115234,0.8286294341087341
2,True,4000.000059604645,0.00500000026077032,medium,trivial,500,3,True,,4369.504451751709,0.3695043921470642,0.01073579080402851,114.71580488226836,lstm,0.9999275207519531,0.827240526676178
3,True,6000.000238418579,0.00500000026077032,large,trivial,500,3,True,,6716.670393943787,0.7166701555252075,0.0078480776399374,56.961544612565554,lstm,0.0,0.8368000388145447
4,True,8000.00011920929,0.00500000026077032,small,trivial,500,3,True,,7930.0349950790405,0.06996512413024902,0.008162173256278037,63.24345661175105,lstm,1.0838508605957031,0.8535310626029968
5,True,2000.0000298023224,0.015000000223517418,medium,trivial,500,3,True,,2175.024449825287,0.17502442002296448,0.016930358111858366,12.869052397175832,lstm,0.9801387786865234,0.887385904788971
6,True,4000.000059604645,0.015000000223517418,large,trivial,500,3,True,,4444.6733593940735,0.4446732997894287,0.019141459465026853,27.609727865312568,lstm,0.9799003601074219,0.8985705375671387
7,True,6000.000238418579,0.015000000223517418,small,trivial,500,3,True,,6456.1063051223755,0.4561060667037964,0.015754539147019384,5.030259415056404,lstm,1.0366439819335938,0.9174970984458923
8,True,8000.00011920929,0.015000000223517418,medium,trivial,500,3,True,,8285.378813743591,0.28537869453430176,0.017280849069356917,15.205658745681358,lstm,1.016378402709961,0.9377472996711731
9,True,2000.0000298023224,0.030000000447034835,large,trivial,500,3,True,,1654.8696160316467,0.34513041377067566,0.02161717414855957,27.942753911871403,lstm,1.0159015655517578,0.9088337421417236
10,True,4000.000059604645,0.030000000447034835,small,trivial,500,3,True,,3555.685877799988,0.444314181804657,0.026892035454511642,10.359883154036357,lstm,0.0,0.918555498123169
11,True,6000.000238418579,0.030000000447034835,medium,trivial,500,3,True,,5799.349546432495,0.20065069198608398,0.022319617867469787,25.601274883728102,lstm,3.0488967895507812,0.93612140417099
12,True,8000.00011920929,0.030000000447034835,large,trivial,500,3,True,,8624.698519706726,0.6246984004974365,0.021990955621004105,26.696815688955546,lstm,2.0020008087158203,0.9639841914176941
0,False,,0.0,none,facil,2000,3,True,,7003.036141395569,,0.005941884778439999,,lstm,0.9963512420654297,0.7991548180580139
1,True,2000.0000298023224,0.00500000026077032,small,facil,2000,3,True,,2446.5472996234894,0.446547269821167,0.009063068591058253,81.26136236764836,lstm,2.001047134399414,0.8263299465179443
2,True,4000.000059604645,0.00500000026077032,medium,facil,2000,3,True,,4971.534907817841,0.9715348482131958,0.010137103870511055,102.74206683639837,lstm,1.0006427764892578,0.8273946642875671
3,True,6000.000238418579,0.00500000026077032,large,facil,2000,3,True,,6965.883374214172,0.9658831357955933,0.007605325989425182,52.10651185553088,lstm,1.1129379272460938,0.8391056656837463
4,True,8000.00011920929,0.00500000026077032,small,facil,2000,3,True,,8247.658014297485,0.2476578950881958,0.00837607942521572,67.5215797673832,lstm,1.0099411010742188,0.8603703379631042
5,True,2000.0000298023224,0.015000000223517418,medium,facil,2000,3,True,,2320.19305229187,0.32019302248954773,0.01769205294549465,17.947017879083486,lstm,0.9999275207519531,0.8895180821418762
