method,noise_level,n_sensors,detection_rate,false_positive_rate,x_error_mean_km,x_error_std_km,x_error_median_km,q_error_mean_pct,inference_time_s,degradation_factor
mass_balance_npw,trivial,2.0,100.0,100.0,0.050000000000001814,0.09045340337332908,2.7284841053187848e-15,0.8022437158365396,,14.999999999999476
mass_balance_npw,trivial,3.0,100.0,100.0,1.0249999999999995,0.5495866215124382,0.9999999999999991,0.7997481649312675,,1.0121951219512209
mass_balance_npw,facil,2.0,100.0,100.0,0.07083333333333448,0.09404624909956272,0.025000000000000414,0.7896131097553231,,14.999999999999476
mass_balance_npw,facil,3.0,100.0,100.0,1.0249999999999995,0.5455397660699334,0.9999999999999991,0.7788434852580282,,1.0121951219512209
mass_balance_npw,moderado,2.0,100.0,100.0,0.15416666666666792,0.15441728196577356,0.0750000000000013,0.7412519396458569,,14.999999999999476
mass_balance_npw,moderado,3.0,100.0,100.0,1.01875,0.564088665661059,0.9749999999999996,0.7076180146180305,,1.0121951219512209
mass_balance_npw,dificil,2.0,100.0,100.0,0.3166666666666682,0.3277563766339911,0.2000000000000027,0.6334326541465403,,14.999999999999476
mass_balance_npw,dificil,3.0,100.0,100.0,0.9812500000000003,0.6558413229654646,0.9375000000000009,0.5222102357490433,,1.0121951219512209
mass_balance_npw,muy_dificil,2.0,100.0,100.0,0.750000000000001,0.950836951896017,0.47500000000000137,0.557602866494371,,14.999999999999476
mass_balance_npw,muy_dificil,3.0,100.0,100.0,1.0375000000000008,0.6985781013146377,0.9750000000000005,0.44401378955381693,,1.0121951219512209
pressure_gradient,trivial,2.0,0.0,0.0,,0.0,,,,
pressure_gradient,trivial,3.0,0.0,0.0,,0.0,,,,
pressure_gradient,facil,2.0,0.0,0.0,,0.0,,,,
pressure_gradient,facil,3.0,0.0,0.0,,0.0,,,,
pressure_gradient,moderado,2.0,0.0,0.0,,0.0,,,,
pressure_gradient,moderado,3.0,0.0,0.0,,0.0,,,,
pressure_gradient,dificil,2.0,0.0,0.0,,0.0,,,,
pressure_gradient,dificil,3.0,8.333333333333332,0.0,0.2438930849914804,0.0,0.2438930849914804,0.3332578278863093,,
pressure_gradient,muy_dificil,2.0,0.0,0.0,,0.0,,,,
pressure_gradient,muy_dificil,3.0,8.333333333333332,0.0,0.5799441673067236,0.0,0.5799441673067236,0.4406283753818907,,
lstm,trivial,3.0,100.0,100.0,0.37871604164441425,0.18314230902036763,0.3909905254840851,39.20743581103317,,6.731437554240828
lstm,facil,3.0,100.0,100.0,0.4637194549043973,0.281960446954208,0.3730203956365585,38.287879006895736,,6.731437554240828
lstm,moderado,3.0,100.0,100.0,0.7986933489640554,0.5955441095013264,0.7699675858020782,33.58334570956863,,6.731437554240828
lstm,dificil,3.0,100.0,100.0,1.7061829442779224,1.4075590352148066,1.3474094867706299,29.63906127498184,,6.731437554240828
lstm,muy_dificil,3.0,100.0,100.0,2.5493033851186433,2.0664954319646576,1.9585362821817398,26.369146560786348,,6.731437554240828
pinn,trivial,2.0,100.0,100.0,2.0001265869140625,1.1290177818496143,1.9996779785156251,164.99999629126657,194.2428067647494,0.9988212009123527
pinn,trivial,3.0,100.0,100.0,1.982766357421875,1.1184390450650328,1.99959228515625,164.99999629126657,208.4041093312777,1.0077229601276594
pinn,facil,2.0,100.0,100.0,1.9977822265625,1.140044767542591,1.9996833496093749,164.99999629126657,191.77783546080957,0.9988212009123527
pinn,facil,3.0,100.0,100.0,1.9980958251953125,1.1389312614810396,1.999593505859375,164.99999629126657,205.23539200195899,1.0077229601276594
pinn,moderado,2.0,100.0,100.0,1.9971641845703128,1.1408119753167079,1.999662353515625,164.99999629126657,194.52884716254013,0.9988212009123527
pinn,moderado,3.0,100.0,100.0,1.9980917154947917,1.1388814066937338,1.9995917968749999,164.99999629126657,206.48179230323206,1.0077229601276594
pinn,dificil,2.0,100.0,100.0,1.9977704671223957,1.1399178011537836,1.99966357421875,164.99999629126657,191.38127068372873,0.9988212009123527
pinn,dificil,3.0,100.0,100.0,1.9980831705729167,1.1387479983744973,1.999621826171875,164.99999629126657,206.11941620019766,1.0077229601276594
pinn,muy_dificil,2.0,100.0,100.0,1.9977688395182291,1.139751846732546,1.999661865234375,164.99999629126657,193.02294028722324,0.9988212009123527
pinn,muy_dificil,3.0,100.0,100.0,1.9980791829427087,1.1385667110362299,1.9996083984375,164.99999629126657,207.1020631606762,1.0077229601276594
